targetId,comparatorId,outcomeId,outcomeName,type
820,821,30441,Sialolithiasis,outcome
820,821,134765,Cachexia,outcome
820,821,81336,Rectal prolapse,outcome
820,821,4114197,Tumor of hypothalamus,outcome
820,821,436676,Posttraumatic stress disorder,outcome
820,821,4092565,Uterine prolapse,outcome
820,821,198202,Cystocele,outcome
820,821,195212,Hypercortisolism,outcome
820,821,316457,Mallory-Weiss syndrome,outcome
820,821,192606,Paraplegia,outcome
820,821,374655,Mastoiditis,outcome
820,821,436675,Anorexia nervosa,outcome
820,821,4001458,Fatigue fracture of vertebra,outcome
820,821,380395,Retinal dystrophy,outcome
820,821,197036,Vesicoureteric reflux,outcome
820,821,4299544,Acanthosis nigricans,outcome
820,821,376132,Ectropion,outcome
820,821,80509,Bone cyst,outcome
820,821,438407,Bulimia nervosa,outcome
820,821,4339088,Testicular mass,outcome
784,782,318800,Gastroesophageal reflux disease,outcome
784,782,133228,Dental caries,outcome
784,782,376707,Acute conjunctivitis,outcome
784,782,75576,Irritable bowel syndrome,outcome
784,782,435613,Cellulitis,outcome
784,782,378424,Astigmatism,outcome
784,782,139902,Allergic urticaria,outcome
784,782,380731,Otitis externa,outcome
784,782,141323,Acute maxillary sinusitis,outcome
784,782,4079750,Osteoarthritis of knee,outcome
784,782,4150372,Acute otitis media,outcome
784,782,440129,Hypertrophy of nasal turbinates,outcome
784,782,4215978,Onychomycosis,outcome
784,782,4164337,Polyp of large intestine,outcome
784,782,381581,Chalazion,outcome
784,782,4108467,Burn of skin,outcome
784,782,374366,Sensorineural hearing loss,outcome
784,782,439840,Lymphangitis,outcome
784,782,138463,Aphthous ulcer of mouth,outcome
784,782,81878,Benign paroxysmal positional vertigo,outcome
784,782,377910,Deviated nasal septum,outcome
784,782,134453,Bursitis,outcome
784,782,201792,Nongonococcal urethritis,outcome
784,782,194997,Prostatitis,outcome
784,782,373478,Presbyopia,outcome
784,782,4142905,Fracture of rib,outcome
784,782,444367,Cholelithiasis without obstruction,outcome
784,782,194696,Dysmenorrhea,outcome
784,782,4049417,Vesicular eczema,outcome
784,782,380094,Carpal tunnel syndrome,outcome
784,782,140168,Psoriasis,outcome
784,782,72418,Scoliosis deformity of spine,outcome
784,782,72576,Benign tumor of breast,outcome
784,782,4131595,Fracture of radius,outcome
784,782,199074,Acute pancreatitis,outcome
784,782,381444,Contusion of eye,outcome
784,782,4153877,Post-traumatic wound infection,outcome
784,782,73300,Radial styloid tenosynovitis,outcome
784,782,433527,Endometriosis (clinical),outcome
784,782,4028970,Tracheobronchitis,outcome
784,782,141933,Alopecia areata,outcome
784,782,74855,Genital herpes simplex,outcome
784,782,40443308,Polycystic ovary syndrome,outcome
784,782,261880,Atelectasis,outcome
784,782,433440,Dysthymia,outcome
784,782,4218106,Alcoholism,outcome
784,782,198075,Condyloma acuminatum of the anogenital region,outcome
784,782,261326,Viral pneumonia,outcome
784,782,140362,Hypoparathyroidism,outcome
784,782,437082,Ankylosing spondylitis,outcome
784,782,4288544,Inguinal hernia,outcome
784,782,4304008,Memory impairment,outcome
784,782,440814,Torticollis,outcome
784,782,253796,Pneumothorax,outcome
